TrialID;SensorType;ActivityType;Distance_m;GroundTruth;Sensor_output;StartTime;EndTime;Sensor_Time;Date
1;PIR;Human_walking;0.5;1;1;15:33:00;15:33:09;15:33:02;08-03-2026
1;mmWave;Human_walking;0.5;1;1;15:33:00;15:33:09;15:33:01;08-03-2026
2;PIR;Human_walking;0.5;1;1;15:34:30;15:34:40;15:34:33;08-03-2026
2;mmWave;Human_walking;0.5;1;1;15:34:30;15:34:40;15:34:32;08-03-2026
3;PIR;Human_walking;0.5;1;1;15:35:45;15:35:56;15:35:48;08-03-2026
3;mmWave;Human_walking;0.5;1;1;15:35:45;15:35:56;15:35:47;08-03-2026
4;PIR;Human_walking;0.5;1;1;15:37:08;15:37:14;15:37:10;08-03-2026
4;mmWave;Human_walking;0.5;1;1;15:37:08;15:37:14;15:37:09;08-03-2026
5;PIR;Human_walking;0.5;1;1;15:40:55;15:41:05;15:40:57;08-03-2026
5;mmWave;Human_walking;0.5;1;1;15:40:55;15:41:05;15:40:56;08-03-2026
6;PIR;Human_walking;0.5;1;0;15:47:14;15:47:22;NA;08-03-2026
6;mmWave;Human_walking;0.5;1;1;15:47:14;15:47:22;15:47:17;08-03-2026
7;PIR;Human_walking;0.5;1;0;15:48:31;15:48:40;NA;08-03-2026
7;mmWave;Human_walking;0.5;1;1;15:48:31;15:48:40;15:48:34;08-03-2026
8;PIR;Human_walking;0.5;1;1;15:49:50;15:49:59;15:49:52;08-03-2026
8;mmWave;Human_walking;0.5;1;1;15:49:50;15:49:59;15:49:52;08-03-2026
9;PIR;Human_walking;0.5;1;1;15:51:05;15:51:13;15:51:09;08-03-2026
9;mmWave;Human_walking;0.5;1;1;15:51:05;15:51:13;15:51:08;08-03-2026
10;PIR;Human_walking;0.5;1;1;15:52:20;15:52:30;15:52:26;08-03-2026
10;mmWave;Human_walking;0.5;1;1;15:52:20;15:52:30;15:52:26;08-03-2026
11;PIR;Human_walking;0.5;0;0;15:54:00;15:54:15;NA;08-03-2026
11;mmWave;Human_walking;0.5;0;0;15:54:00;15:54:15;NA;08-03-2026
12;PIR;Human_walking;0.5;0;0;15:54:16;15:54:31;NA;08-03-2026
12;mmWave;Human_walking;0.5;0;0;15:54:16;15:54:31;NA;08-03-2026
13;PIR;Human_walking;0.5;0;0;15:54:32;15:54:47;NA;08-03-2026
13;mmWave;Human_walking;0.5;0;0;15:54:32;15:54:47;NA;08-03-2026
14;PIR;Human_walking;0.5;0;0;15:54:48;15:55:03;NA;08-03-2026
14;mmWave;Human_walking;0.5;0;0;15:54:48;15:55:03;NA;08-03-2026
15;PIR;Human_walking;0.5;0;0;15:55:04;15:55:19;NA;08-03-2026
15;mmWave;Human_walking;0.5;0;0;15:55:04;15:55:19;NA;08-03-2026
16;PIR;Human_walking;0.5;0;0;15:55:20;15:55:35;NA;08-03-2026
16;mmWave;Human_walking;0.5;0;0;15:55:20;15:55:35;NA;08-03-2026
17;PIR;Human_walking;0.5;0;0;15:55:36;15:55:51;NA;08-03-2026
17;mmWave;Human_walking;0.5;0;0;15:55:36;15:55:51;NA;08-03-2026
18;PIR;Human_walking;0.5;0;0;15:55:52;15:56:07;NA;08-03-2026
18;mmWave;Human_walking;0.5;0;0;15:55:52;15:56:07;NA;08-03-2026
19;PIR;Human_walking;0.5;0;0;15:56:08;15:56:23;NA;08-03-2026
19;mmWave;Human_walking;0.5;0;0;15:56:08;15:56:23;NA;08-03-2026
20;PIR;Human_walking;0.5;0;0;15:56:23;15:56:38;NA;08-03-2026
20;mmWave;Human_walking;0.5;0;0;15:56:23;15:56:38;NA;08-03-2026
21;PIR;Dog_walking;0.5;1;0;12:58:05;12:58:13;NA;05-03-2026
21;mmWave;Dog_walking;0.5;1;1;12:58:05;12:58:13;12:58:08;05-03-2026
22;PIR;Dog_walking;0.5;1;0;12:59:13;12:59:30;NA;05-03-2026
22;mmWave;Dog_walking;0.5;1;1;12:59:13;12:59:30;12:59:14;05-03-2026
23;PIR;Dog_walking;0.5;1;0;13:01:27;13:01:41;NA;05-03-2026
23;mmWave;Dog_walking;0.5;1;1;13:01:27;13:01:41;13:01:36;05-03-2026
24;PIR;Dog_walking;0.5;1;0;13:04:30;13:04:38;NA;05-03-2026
24;mmWave;Dog_walking;0.5;1;1;13:04:30;13:04:38;13:04:32;05-03-2026
25;PIR;Dog_walking;0.5;1;0;13:08:44;13:08:49;NA;05-03-2026
25;mmWave;Dog_walking;0.5;1;1;13:08:44;13:08:49;13:08:45;05-03-2026
26;PIR;Dog_walking;0.5;1;0;13:10:30;13:10:38;NA;05-03-2026
26;mmWave;Dog_walking;0.5;1;0;13:10:30;13:10:38;NA;05-03-2026
27;PIR;Dog_walking;0.5;1;0;13:13:02;13:13:08;NA;05-03-2026
27;mmWave;Dog_walking;0.5;1;1;13:13:02;13:13:08;13:13:05;05-03-2026
28;PIR;Dog_walking;0.5;1;0;13:15:01;13:15:06;NA;05-03-2026
28;mmWave;Dog_walking;0.5;1;0;13:15:01;13:15:06;NA;05-03-2026
29;PIR;Dog_walking;0.5;1;0;13:15:35;13:15:40;NA;05-03-2026
29;mmWave;Dog_walking;0.5;1;1;13:15:35;13:15:40;13:15:38;05-03-2026
30;PIR;Dog_walking;0.5;1;0;13:16:10;13:16:19;NA;05-03-2026
30;mmWave;Dog_walking;0.5;1;1;13:16:10;13:16:19;13:16:18;05-03-2026
31;PIR;Dog_walking;0.5;0;0;13:19:42;13:19:53;NA;05-03-2026
31;mmWave;Dog_walking;0.5;0;0;13:19:42;13:19:53;NA;05-03-2026
32;PIR;Dog_walking;0.5;0;0;13:20:10;13:20:20;NA;05-03-2026
32;mmWave;Dog_walking;0.5;0;0;13:20:10;13:20:20;NA;05-03-2026
33;PIR;Dog_walking;0.5;0;0;13:20:35;13:20:43;NA;05-03-2026
33;mmWave;Dog_walking;0.5;0;0;13:20:35;13:20:43;NA;05-03-2026
34;PIR;Dog_walking;0.5;0;0;13:21:05;13:21:21;NA;05-03-2026
34;mmWave;Dog_walking;0.5;0;0;13:21:05;13:21:21;NA;05-03-2026
35;PIR;Dog_walking;0.5;0;0;13:21:41;13:21:56;NA;05-03-2026
35;mmWave;Dog_walking;0.5;0;0;13:21:41;13:21:56;NA;05-03-2026
36;PIR;Dog_walking;0.5;0;0;13:22:11;13:22:25;NA;05-03-2026
36;mmWave;Dog_walking;0.5;0;0;13:22:11;13:22:25;NA;05-03-2026
